화면분류 기준 번호,화면분류,화면 넘버링,요구사항명,요구사항내용,담당 파트,사용 Azure,우선순위,비고
3.5,데이터 처리,FUNC-PROC-005,카테고리 내부 Sub-Clustering,"3.3 업무 유형 분류로 얻은 6개 거시 카테고리 내부에서 sklearn 기반 임베딩 군집화 수행. 같은 분류 안에서 세부 반복 업무 패턴(예: '보고서 작성형' → '캠페인 보고서/주간 보고서/임원 보고서')과 대표 프롬프트 추출",AI/ML,App Service,P1,P1 미구현 시 6개 분류 카테고리 단위 집계로 대체 (sub-cluster 없이 거시 단위 추천)
3.6,데이터 처리,FUNC-PROC-006,Risk Score 계산,5개 항목 가중치 합산 (개인정보 30% + 기밀 25% + 고객 20% + 재무법무 15% + 노출 10%),Backend,"App Service, Azure SQL",P0,—
3.7,데이터 처리,FUNC-PROC-007,Opportunity Score 계산,5개 항목 가중치 합산 (사용빈도 30% + 반복성 25% + 비용 20% + 사용자수 15% + 난이도역점수 10%),Backend,"App Service, Azure SQL",P0,—
3.8,데이터 처리,FUNC-PROC-008,자동화 후보 매칭,업무유형 라벨별 자동화 서비스 후보 매핑 (문서자동화/Copilot/RAG 등),"Backend, AI/ML","Azure OpenAI, Azure SQL",P0,—
3.9,데이터 처리,FUNC-PROC-009,마스킹 후 원문 즉시 폐기 검증,마스킹 완료 후 prompt_text가 메모리/디스크에 잔존하지 않도록 보장하고 폐기 확인 플래그 기록,"Backend, AI/ML","App Service, Application Insights",P0,책임 있는 AI 핵심 (보안 평가 항목)
3.10,데이터 처리,FUNC-PROC-010,마스킹 실패 Fallback,마스킹 신뢰도가 임계값 미만일 시 해당 프롬프트를 분석 대상에서 제외하고 unmasked-rejected 카운트만 기록,AI/ML,"Azure OpenAI, App Service",P0,책임 있는 AI 핵심 (보안 평가 항목)
3.11,데이터 처리,FUNC-PROC-011,Embedding 접근 통제,Embedding을 민감 파생 데이터로 분류하여 접근 권한(RBAC) 및 보관 기간 제한 적용,"Backend, Infra","Azure SQL, Azure Key Vault",P1,P1 미구현 시 DB 접근 제한 + 환경변수 보관 정책으로 대체
4.1,부서별 대시보드,SCR-DASH-001,부서별 LLM 사용 현황,부서별 토큰 사용량/비용/사용자수 통계 시각화,"Frontend, Backend","Static Web Apps, App Service, Azure SQL",P0,[P0 메인 화면]
4.2,부서별 대시보드,SCR-DASH-002,부서별 업무 유형 비중,업무 유형 6개 카테고리 비중 차트,Frontend,Static Web Apps,P0,[P0 메인 화면]
4.3,부서별 대시보드,SCR-DASH-003,부서별 반복 프롬프트 비율,반복 패턴 분석 결과 시각화,"Frontend, Backend","Static Web Apps, App Service",P1,—
4.4,부서별 대시보드,SCR-DASH-004,부서별 비용 트렌드,월별/주별 토큰 비용 추이 그래프,Frontend,Static Web Apps,P1,—
5.1,자동화 추천,SCR-RECO-001,AI 자동화 후보 카드 리스트,부서별 Opportunity Score 상위 자동화 후보 카드 일람,Frontend,Static Web Apps,P0,[P0 메인 화면]
5.2,자동화 추천,SCR-RECO-002,추천 상세 보기,기대효과/구현난이도/필요 Azure 리소스 표시,"Frontend, Backend","Static Web Apps, App Service",P0,[P0 메인 화면]
5.3,자동화 추천,SCR-RECO-003,추천 근거 설명 (XAI),LLM 기반 추천 근거 자연어 설명 (업무유형 비중/반복성/비용/사용자수/위험도),"AI/ML, Backend",Azure OpenAI,P1,P1 미구현 시 수치 기반 근거만 표시
5.4,자동화 추천,SCR-RECO-004,Risk 기반 도입 판단,Opportunity 높지만 Risk 높을 시 '보안 검토 필요'로 분류 표시,"Frontend, Backend","Static Web Apps, App Service",P0,핵심 차별화 — 자동화 가치와 보안 위험을 결합한 판단
6.1,보안/위험도,SCR-RISK-001,부서별 Risk Overview,부서별 평균 Risk Score / High·Critical 비율 시각화,Frontend,Static Web Apps,P0,책임 있는 AI 핵심 화면
6.2,보안/위험도,SCR-RISK-002,민감정보 유형별 통계,PII/기밀/고객/재무/법무 등 유형별 탐지 비중,"Frontend, Backend","Static Web Apps, App Service",P1,—
6.3,보안/위험도,SCR-RISK-003,위험도 등급 시각화,Low/Medium/High/Critical 등급별 분포 차트,Frontend,Static Web Apps,P0,Risk Score(3.6) 결과를 사용자에게 보여주는 필수 화면
6.4,보안/위험도,SCR-RISK-004,보안 교육 필요 영역 추천,위험도 높은 부서 대상 교육 추천 생성,"Backend, AI/ML",Azure OpenAI,P2,P2 미구현 시 위험 부서 목록만 텍스트로 제공
7.1,관리자 설정,SCR-ADMIN-001,마스킹 규칙 관리,탐지 패턴 추가/수정/삭제 및 우선순위 설정,"Frontend, Backend","Static Web Apps, App Service, Azure SQL",P1,P1 미구현 시 코드 내 기본 패턴 사용 (변경 불가)
7.2,관리자 설정,SCR-ADMIN-002,데이터 보관 정책,보관 기간 설정 및 자동 삭제 스케줄링,Backend,"App Service, Azure SQL",P2,P2 미구현 시 운영자가 수동 삭제 가이드로 대응
7.3,관리자 설정,SCR-ADMIN-003,배포 모드 설정,SaaS / Customer-hosted / Edge Masking 모드 선택,"Backend, Infra","App Service, Azure Key Vault",P2,P2 미구현 시 옵션 A(SaaS) 기본 동작
7.4,관리자 설정,SCR-ADMIN-004,부서/사용자 관리,부서 정보 등록 / 사용자 ID 해시 매핑 / 실시간 수집 시 IP·User → 부서 매핑 테이블 관리,Backend,"Azure SQL, Microsoft Entra ID",P2,P2 미구현 시 CSV 컬럼의 부서명/사용자ID를 자동 인식하여 사용
8.1,시스템/감사,SCR-AUDIT-001,접근 감사 로그 조회,누가 언제 어떤 데이터에 접근했는지 기록 조회,Backend,"Application Insights, Azure SQL",P2,P2 미구현 시 Application Insights 기본 로그로 대체
8.2,시스템/감사,SCR-AUDIT-002,시스템 모니터링 대시보드,API 호출 현황 / 오류율 / 응답시간 시각화,"Backend, Infra",Application Insights,P1,P1 미구현 시 App Service 기본 로그(stdout)로 대체
8.3,시스템/감사,SCR-AUDIT-003,데이터 완전 삭제,계약 종료 시 백업본 포함 완전 삭제 및 증빙 발급,Backend,"Azure SQL, Blob Storage",P2,P2 미구현 시 운영자가 DB/Blob 수동 삭제 후 증빙 생성
8.4,시스템/감사,SCR-AUDIT-004,Key/Secret 관리,API Key / DB 접속정보 / 인증서 통합 관리,Infra,Azure Key Vault,P2,P0/P1 단계에서는 App Service 환경변수로 대체 가능
